ID,FIELD,RA,DEC,z_mean,AB115,AB150,AB200,AB277,AB356,AB410,AB444,AB606,AB814,AB105,AB125,AB160,galfit_FIELD,galfit_CATID,galfit_RA,galfit_DEC,galfit_F200W_MAG,galfit_F200W_MAG_ERR,galfit_F200W_RE,galfit_F200W_RE_ERR,galfit_F200W_N,galfit_F200W_N_ERR,galfit_F200W_Q,galfit_F200W_Q_ERR,galfit_F200W_PA,galfit_F200W_PA_ERR,galfit_F200W_FLAG,galfit_F356W_MAG,galfit_F356W_MAG_ERR,galfit_F356W_RE,galfit_F356W_RE_ERR,galfit_F356W_N,galfit_F356W_N_ERR,galfit_F356W_Q,galfit_F356W_Q_ERR,galfit_F356W_PA,galfit_F356W_PA_ERR,galfit_F356W_FLAG,FLUX_115,FLUX_150,FLUX_200,FLUX_277,FLUX_356,FLUX_410,FLUX_444,FLUX_606,FLUX_814,FLUX_105,FLUX_125,FLUX_140,FLUX_160
86061,9,214.93088716045995,52.84662457784202,0.3700857232604855,21.621948636283342,21.389055053041922,21.240086711726633,21.32009398452173,21.857548246904727,21.97482414896637,21.884091046735595,22.625449524779167,22.050042836136498,inf,21.642007895757544,21.479505754958513,b'       9',4653,214.93088716045995,52.84662457784202,21.2716,0.0006,0.22893599,0.0067,0.8516,0.002,0.6347,0.0005,76.0785,0.0706,0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,3,8151.181160883193,10101.31649788136,11586.848147324223,10763.720356653208,6561.161097963308,5889.390350169349,6402.706309521743,3234.597079484999,5495.191929526165,0.0,8001.968578574128,8636.891030324667,9293.893638784208
86108,9,214.94003077728027,52.85375655687195,0.6373055536884953,22.062964789733833,21.698182298557093,21.376619838554078,21.193579357722477,21.478753389211736,21.78326944896427,21.83802701156323,23.890422855550508,22.79800400196335,inf,22.057284449717187,21.780273416077215,b'       9',4716,214.94003077728027,52.85375655687195,21.349,0.001,0.45739198,0.0204,0.87,0.0027,0.3724,0.0004,17.955597,0.0417,0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,3,5430.178227686907,7598.486226527753,10217.674526859595,12093.952454477376,9300.336115756945,7025.742369990039,6680.195851010811,1008.859894585599,2759.2966851844294,0.0,5458.662206899229,6085.251385970542,7045.156316158046
86277,9,214.87774288742168,52.80865754611712,0.8002282343275131,22.566636747706895,22.376193713232166,22.16164437819029,22.03412786447371,22.09903978368095,22.269655729430575,22.421939810983147,24.16220328688398,23.16076963334777,inf,22.620200883268986,22.45819226388482,b'       9',4904,214.87774288742168,52.80865754611712,22.125,0.0015,0.43375197,0.0343,0.8883,0.004,0.5322,0.0008,-36.308098,0.1204,0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,3,3414.6429677373794,4069.3262947555645,4958.407875875398,5576.334973875704,5252.718010228018,4488.877028872621,3901.432303852799,785.450255389854,1975.568744936416,0.0,3250.271551909004,3513.508627554547,3773.315281561159
86297,9,214.88998993826783,52.81747668586784,0.38281202326290553,22.855542676016693,22.733584184303435,22.637784013653587,22.830740894635312,23.26827736298615,23.430794520359747,23.45094128980304,23.584846706316668,23.13265048405192,inf,22.895342540302295,22.80933047102249,b'       9',4928,214.88998993826783,52.81747668586784,22.6379,0.0013,0.20784599,0.0174,0.9096,0.0048,0.8859,0.0019,-16.419899,0.7158,0,23.2703,0.0011,0.207915,0.0148,0.7913,0.0045,0.9019,0.0018,-19.9653,0.7638,0,2616.8747069039828,2927.96800206294,3198.058432177584,2677.3407129927296,1789.3242788942632,1540.572679629426,1512.2496201025428,1336.7842420525367,2027.4017002779701,0.0,2522.6847618816514,2526.7913450182837,2730.6611504348557
86468,9,214.86791153242928,52.800557226642155,0.7808668549018558,22.1486118239948,21.858413524425487,21.638542847328473,21.491812560411077,21.648587555510495,21.867867748917664,22.038391343149932,24.353429245973523,22.846066778099164,inf,22.178785611970163,21.946271046995193,b'       9',5119,214.86791153242928,52.800557226642155,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,3,21.6562,0.0006,0.099140994,0.0049,3.6987,0.0134,0.5723,0.0009,-84.4719,0.0793,0,5018.284400710155,6555.934263349484,8027.547075749699,9189.142277094006,7953.622562699937,6499.0952267858465,5554.4807084829945,658.609971304118,2639.813762874197,0.0,4880.7409223453105,5484.218321633703,6046.32630428247
86622,9,214.86782414368642,52.79874716909825,0.7805881343496182,19.7613053118134,19.338026242778362,18.96460575176571,18.755587148377366,18.85896872824263,19.064327831003084,19.24269820120123,22.35361438232976,20.753513864425706,inf,19.738719141839894,19.39945684143028,b'       9',5298,214.86782414368642,52.79874716909825,19.1016,0.0044,0.450909,0.098,4.7689,0.0127,0.8723,0.0004,37.589203,0.107,0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,3,45235.34170246086,66802.00581105727,94223.16738490903,114226.04519688248,103851.43662348235,85954.5493289683,72932.43599014143,4154.839454731674,18138.211189380974,0.0,46186.21184840126,54347.088638892004,63127.307091990544
86692,9,214.93057441602033,52.84395401525891,0.810540143701246,23.53881438162657,23.488955246909786,23.36348749235031,23.242615061796485,23.467958450054304,23.617480287093564,23.692274770126076,24.807507728211185,23.893402325773067,inf,23.561701306646675,23.56214367292227,b'       9',5378,214.93057441602033,52.84395401525891,23.361,0.0292,0.60615295,0.459,1.9974,0.0259,0.9197,0.0081,-25.7974,3.9102,0,23.573,0.0077,0.557706,0.1689,1.5568,0.015,0.7958,0.0045,-23.3867,1.4044,0,1394.6789539763608,1460.218684499578,1639.0983120793492,1832.1202516166286,1488.7323305721127,1297.2028231190195,1210.8492913795571,433.5077926916832,1006.0951830195095,0.0,1365.5873256791317,1341.6194027483086,1365.0310517611676
86757,9,214.92647505085458,52.838820177069735,0.7845613184545387,22.207505283926867,21.96608361689426,21.69272471970404,21.425627280895405,21.60473782321376,21.7523650087388,21.87111845301136,24.188837135137305,22.906582013167927,inf,22.249445775606375,22.058277968411396,b'       9',5453,214.92647505085458,52.838820177069735,21.5728,0.0034,0.64416295,0.1129,1.9196,0.0093,0.4644,0.0012,-60.252098,0.1275,0,21.5481,0.0024,0.56393695,0.0725,1.872,0.0076,0.4686,0.0011,-58.199,0.1073,0,4753.329126456629,5936.993223784912,7636.777054108054,9766.72788094237,8281.421141467472,7228.596722761044,6479.665976626458,766.4170293346069,2496.704791496304,0.0,4573.215741992914,4943.4976858788405,5453.66946340048
86832,9,214.8997866059933,52.821449645083874,0.5047630384330557,23.507831841661577,23.447299013757878,23.397953173276143,23.51702409182836,23.914252030125468,24.101065309968654,24.174885140956082,24.054686076552358,23.60579085076951,inf,23.527902864656912,23.5174998247564,b'       9',5534,214.8997866059933,52.821449645083874,23.35,0.0063,0.44567397,0.1393,0.8395,0.0114,0.7742,0.005,-63.6791,1.1181,0,23.9981,0.0056,0.401406,0.1056,0.6701,0.012,0.7813,0.0055,-69.8545,1.2772,0,1435.0507610425816,1517.3312224904723,1587.8838465815872,1422.9523697783295,986.9591732971908,830.9480557685526,776.3292394477154,867.2125803114428,1311.2444400074025,0.0,1408.765975911294,1469.5993518892672,1422.329016694269
86845,9,214.93670052804544,52.8472665678507,0.3685863440982512,20.683482363710503,20.44107130113559,20.286658579348,20.365709764125864,20.909047865864526,21.01391733080368,20.910341184414705,21.626099093571323,21.085884595637772,inf,20.684816074504994,20.513177799883884,b'       9',5547,214.93670052804544,52.8472665678507,20.2371,0.0007,0.41152498,0.0184,1.7811,0.0029,0.8658,0.0008,-80.0387,0.2269,0,20.8404,0.0007,0.42291299,0.0175,1.7998,0.0026,0.8756,0.0007,-78.152,0.2199,0,19346.707002983738,24186.413838836168,27882.811854957505,25924.840573657602,15717.405347811093,14270.298831301914,15698.694071917715,8120.081020641535,13355.069786171578,0.0,19322.956233429177,21004.83115841304,22632.309839727626
